sub_category,average_rating,discount_pct,selling_price
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.1,33.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",4.5,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",4.5,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",4.5,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",4.5,77.0,899.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",4.1,35.0,449.0
"Kurtas, Ethnic Sets and Bottoms",4.0,70.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.1,72.0,1399.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",4.0,70.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,70.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.4,57.0,1699.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.9,73.0,699.0
"Kurtas, Ethnic Sets and Bottoms",3.4,57.0,1699.0
"Kurtas, Ethnic Sets and Bottoms",3.4,57.0,1699.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.9,73.0,699.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,62.0,749.0
"Kurtas, Ethnic Sets and Bottoms",3.0,39.0,540.0
"Kurtas, Ethnic Sets and Bottoms",4.0,62.0,749.0
"Kurtas, Ethnic Sets and Bottoms",3.9,35.0,449.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.9,73.0,699.0
"Kurtas, Ethnic Sets and Bottoms",2.8,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.4,30.0,699.0
"Kurtas, Ethnic Sets and Bottoms",3.0,77.0,441.0
"Kurtas, Ethnic Sets and Bottoms",3.7,26.0,738.0
"Kurtas, Ethnic Sets and Bottoms",3.4,45.0,549.0
"Kurtas, Ethnic Sets and Bottoms",4.0,62.0,749.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.7,25.0,749.0
"Kurtas, Ethnic Sets and Bottoms",4.1,72.0,1399.0
"Kurtas, Ethnic Sets and Bottoms",3.7,30.0,698.0
"Kurtas, Ethnic Sets and Bottoms",3.4,57.0,1699.0
"Kurtas, Ethnic Sets and Bottoms",3.5,38.0,549.0
"Kurtas, Ethnic Sets and Bottoms",4.0,15.0,848.0
"Kurtas, Ethnic Sets and Bottoms",4.0,34.0,848.0
"Kurtas, Ethnic Sets and Bottoms",4.8,36.0,823.0
"Kurtas, Ethnic Sets and Bottoms",3.5,38.0,549.0
"Kurtas, Ethnic Sets and Bottoms",4.1,72.0,1399.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.5,40.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.1,76.0,1199.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.5,40.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.8,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.8,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.4,40.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",1.0,34.0,848.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,25.0,748.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,26.0,738.0
"Kurtas, Ethnic Sets and Bottoms",4.0,15.0,848.0
"Kurtas, Ethnic Sets and Bottoms",4.8,34.0,848.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,16.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,16.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,16.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,25.0,1348.0
"Kurtas, Ethnic Sets and Bottoms",3.7,16.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,16.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,16.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,1498.0
"Kurtas, Ethnic Sets and Bottoms",4.0,15.0,848.0
"Kurtas, Ethnic Sets and Bottoms",4.8,34.0,848.0
"Kurtas, Ethnic Sets and Bottoms",3.4,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",4.0,75.0,499.0
"Kurtas, Ethnic Sets and Bottoms",2.2,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",3.7,72.0,1099.0
"Kurtas, Ethnic Sets and Bottoms",3.7,50.0,599.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,60.0,475.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,60.0,475.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,894.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,894.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,58.0,1234.0
"Kurtas, Ethnic Sets and Bottoms",0.0,56.0,1734.0
"Kurtas, Ethnic Sets and Bottoms",0.0,57.0,895.0
